-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Latitude  -23.8077   Longitude -47.4424 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 634.88 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MIN,T2M_MAX
-23.80769,-47.44239,2020,105,   14.25,   23.75
-23.80769,-47.44239,2020,106,   15.88,   23.48
-23.80769,-47.44239,2020,107,   13.43,   25.18
-23.80769,-47.44239,2020,108,   13.03,   22.74
-23.80769,-47.44239,2020,109,   14.79,   22.88
-23.80769,-47.44239,2020,110,   15.57,   23.91
-23.80769,-47.44239,2020,111,   15.27,   24.26
-23.80769,-47.44239,2020,112,   14.47,   24.66
-23.80769,-47.44239,2020,113,   14.38,   24.56
-23.80769,-47.44239,2020,114,   14.20,   24.22
-23.80769,-47.44239,2020,115,   15.49,   26.13
-23.80769,-47.44239,2020,116,   15.35,   27.43
-23.80769,-47.44239,2020,117,   15.05,   26.59
-23.80769,-47.44239,2020,118,   15.60,   24.37
-23.80769,-47.44239,2020,119,   15.07,   25.05
-23.80769,-47.44239,2020,120,   13.88,   26.21
-23.80769,-47.44239,2020,121,   15.14,   26.95
-23.80769,-47.44239,2020,122,   15.92,   26.54
-23.80769,-47.44239,2020,123,   15.18,   25.46
-23.80769,-47.44239,2020,124,   13.50,   21.61
-23.80769,-47.44239,2020,125,   12.41,   23.43
-23.80769,-47.44239,2020,126,   11.49,   25.30
-23.80769,-47.44239,2020,127,   14.77,   26.23
-23.80769,-47.44239,2020,128,   12.57,   18.81
-23.80769,-47.44239,2020,129,   12.42,   20.78
-23.80769,-47.44239,2020,130,   11.82,   23.49
-23.80769,-47.44239,2020,131,   10.75,   24.20
-23.80769,-47.44239,2020,132,   11.39,   25.06
-23.80769,-47.44239,2020,133,   11.84,   25.98
-23.80769,-47.44239,2020,134,   12.83,   25.22
-23.80769,-47.44239,2020,135,   15.13,   20.82
-23.80769,-47.44239,2020,136,   13.32,   19.40
-23.80769,-47.44239,2020,137,   12.26,   23.36
-23.80769,-47.44239,2020,138,   11.96,   23.99
-23.80769,-47.44239,2020,139,    9.98,   23.81
-23.80769,-47.44239,2020,140,   13.42,   24.29
-23.80769,-47.44239,2020,141,   14.59,   25.38
-23.80769,-47.44239,2020,142,   13.64,   25.63
-23.80769,-47.44239,2020,143,   14.72,   26.92
-23.80769,-47.44239,2020,144,   13.14,   22.39
-23.80769,-47.44239,2020,145,   10.11,   18.54
-23.80769,-47.44239,2020,146,    8.80,   20.16
-23.80769,-47.44239,2020,147,    7.55,   20.30
-23.80769,-47.44239,2020,148,    7.24,   20.76
-23.80769,-47.44239,2020,149,    9.00,   21.42
-23.80769,-47.44239,2020,150,    8.28,   24.37
-23.80769,-47.44239,2020,151,    9.18,   24.62
-23.80769,-47.44239,2020,152,    9.84,   24.23
-23.80769,-47.44239,2020,153,   11.21,   25.62
-23.80769,-47.44239,2020,154,   14.49,   18.23
-23.80769,-47.44239,2020,155,   14.15,   19.13
-23.80769,-47.44239,2020,156,   14.59,   22.03
-23.80769,-47.44239,2020,157,   16.17,   21.93
-23.80769,-47.44239,2020,158,   16.13,   23.84
-23.80769,-47.44239,2020,159,   13.29,   23.48
-23.80769,-47.44239,2020,160,   13.55,   25.02
-23.80769,-47.44239,2020,161,   16.48,   25.18
-23.80769,-47.44239,2020,162,   17.84,   26.52
-23.80769,-47.44239,2020,163,   17.03,   27.16
-23.80769,-47.44239,2020,164,   16.24,   26.92
-23.80769,-47.44239,2020,165,   16.52,   27.13
-23.80769,-47.44239,2020,166,   13.75,   18.45
-23.80769,-47.44239,2020,167,   13.60,   21.40
-23.80769,-47.44239,2020,168,   14.22,   23.19
-23.80769,-47.44239,2020,169,   14.58,   23.81
-23.80769,-47.44239,2020,170,   12.73,   23.93
-23.80769,-47.44239,2020,171,   13.78,   25.07
-23.80769,-47.44239,2020,172,   12.58,   25.97
-23.80769,-47.44239,2020,173,   14.50,   26.68
-23.80769,-47.44239,2020,174,   13.66,   26.53
-23.80769,-47.44239,2020,175,   14.15,   25.05
-23.80769,-47.44239,2020,176,   12.53,   25.69
-23.80769,-47.44239,2020,177,   13.99,   26.02
-23.80769,-47.44239,2020,178,   14.83,   18.88
-23.80769,-47.44239,2020,179,   12.31,   15.53
-23.80769,-47.44239,2020,180,   11.81,   18.26
-23.80769,-47.44239,2020,181,   12.93,   20.62
-23.80769,-47.44239,2020,182,   14.09,   23.29
-23.80769,-47.44239,2020,183,   10.08,   19.68
-23.80769,-47.44239,2020,184,    9.32,   18.40
-23.80769,-47.44239,2020,185,   10.02,   18.03
-23.80769,-47.44239,2020,186,    9.16,   21.89
-23.80769,-47.44239,2020,187,   11.12,   24.54
-23.80769,-47.44239,2020,188,   14.53,   24.63
-23.80769,-47.44239,2020,189,   15.31,   25.91
-23.80769,-47.44239,2020,190,   13.94,   25.81
-23.80769,-47.44239,2020,191,   11.10,   21.51
-23.80769,-47.44239,2020,192,   10.24,   23.01
-23.80769,-47.44239,2020,193,   13.16,   25.83
-23.80769,-47.44239,2020,194,   13.91,   26.63
-23.80769,-47.44239,2020,195,   15.03,   26.21
-23.80769,-47.44239,2020,196,   12.77,   19.65
-23.80769,-47.44239,2020,197,   11.90,   18.31
-23.80769,-47.44239,2020,198,   11.39,   21.70
-23.80769,-47.44239,2020,199,   12.67,   24.54
-23.80769,-47.44239,2020,200,   14.00,   25.33
-23.80769,-47.44239,2020,201,   11.87,   24.38
-23.80769,-47.44239,2020,202,   11.57,   25.20
-23.80769,-47.44239,2020,203,   12.19,   25.92
-23.80769,-47.44239,2020,204,   13.09,   26.08
-23.80769,-47.44239,2020,205,   12.65,   26.04
-23.80769,-47.44239,2020,206,   12.34,   25.91
-23.80769,-47.44239,2020,207,   12.62,   27.14
-23.80769,-47.44239,2020,208,   14.04,   21.71
-23.80769,-47.44239,2020,209,   12.90,   26.52
-23.80769,-47.44239,2020,210,   15.68,   28.40
-23.80769,-47.44239,2020,211,   11.90,   17.21
-23.80769,-47.44239,2020,212,   11.83,   16.89
-23.80769,-47.44239,2020,213,   12.96,   21.10
-23.80769,-47.44239,2020,214,   12.86,   22.63
-23.80769,-47.44239,2020,215,   12.43,   22.88
-23.80769,-47.44239,2020,216,   11.54,   23.40
-23.80769,-47.44239,2020,217,   11.93,   23.59
-23.80769,-47.44239,2020,218,   11.42,   23.75
-23.80769,-47.44239,2020,219,   10.01,   24.00
-23.80769,-47.44239,2020,220,   10.99,   24.51
-23.80769,-47.44239,2020,221,   11.86,   25.08
-23.80769,-47.44239,2020,222,   13.24,   25.50
-23.80769,-47.44239,2020,223,   11.97,   26.93
-23.80769,-47.44239,2020,224,   13.03,   27.56
-23.80769,-47.44239,2020,225,   13.84,   28.25
-23.80769,-47.44239,2020,226,   15.70,   30.10
-23.80769,-47.44239,2020,227,   15.79,   27.32
-23.80769,-47.44239,2020,228,   18.30,   27.63
-23.80769,-47.44239,2020,229,   15.99,   19.29
-23.80769,-47.44239,2020,230,   15.90,   23.82
-23.80769,-47.44239,2020,231,   16.64,   23.83
-23.80769,-47.44239,2020,232,   16.30,   25.62
-23.80769,-47.44239,2020,233,   12.49,   16.58
-23.80769,-47.44239,2020,234,    8.69,   12.37
-23.80769,-47.44239,2020,235,    8.50,   13.89
-23.80769,-47.44239,2020,236,   10.20,   19.25
-23.80769,-47.44239,2020,237,   10.38,   20.64
-23.80769,-47.44239,2020,238,    9.81,   20.40
-23.80769,-47.44239,2020,239,   10.04,   22.56
-23.80769,-47.44239,2020,240,    9.79,   25.66
-23.80769,-47.44239,2020,241,   11.43,   27.89
-23.80769,-47.44239,2020,242,   14.05,   28.73
-23.80769,-47.44239,2020,243,   15.25,   29.93
-23.80769,-47.44239,2020,244,   16.04,   25.28
-23.80769,-47.44239,2020,245,   15.96,   24.30
-23.80769,-47.44239,2020,246,   15.49,   26.16
-23.80769,-47.44239,2020,247,   14.87,   29.51
-23.80769,-47.44239,2020,248,   15.63,   31.08
-23.80769,-47.44239,2020,249,   16.29,   30.36
-23.80769,-47.44239,2020,250,   14.85,   31.50
-23.80769,-47.44239,2020,251,   16.47,   29.84
-23.80769,-47.44239,2020,252,   16.15,   30.02
-23.80769,-47.44239,2020,253,   16.31,   30.61
-23.80769,-47.44239,2020,254,   16.56,   33.51
-23.80769,-47.44239,2020,255,   18.06,   32.71
-23.80769,-47.44239,2020,256,   18.44,   34.36
-23.80769,-47.44239,2020,257,   17.92,   33.67
-23.80769,-47.44239,2020,258,   17.66,   32.81
-23.80769,-47.44239,2020,259,   14.66,   24.67
-23.80769,-47.44239,2020,260,   14.94,   31.65
-23.80769,-47.44239,2020,261,   17.55,   33.01
-23.80769,-47.44239,2020,262,   17.05,   31.63
-23.80769,-47.44239,2020,263,   18.55,   32.41
-23.80769,-47.44239,2020,264,   15.27,   23.46
-23.80769,-47.44239,2020,265,   14.11,   21.09
-23.80769,-47.44239,2020,266,   13.71,   19.58
-23.80769,-47.44239,2020,267,   14.02,   24.87
-23.80769,-47.44239,2020,268,   14.77,   27.84
-23.80769,-47.44239,2020,269,   15.35,   29.91
-23.80769,-47.44239,2020,270,   16.32,   32.77
-23.80769,-47.44239,2020,271,   17.89,   36.04
-23.80769,-47.44239,2020,272,   19.95,   32.22
-23.80769,-47.44239,2020,273,   18.02,   28.33
-23.80769,-47.44239,2020,274,   17.12,   37.34
-23.80769,-47.44239,2020,275,   20.20,   37.53
-23.80769,-47.44239,2020,276,   23.55,   38.86
-23.80769,-47.44239,2020,277,   17.79,   26.96
-23.80769,-47.44239,2020,278,   17.20,   27.91
-23.80769,-47.44239,2020,279,   17.46,   35.14
-23.80769,-47.44239,2020,280,   20.21,   36.38
-23.80769,-47.44239,2020,281,   18.87,   37.06
-23.80769,-47.44239,2020,282,   18.63,   33.57
-23.80769,-47.44239,2020,283,   16.41,   26.77
-23.80769,-47.44239,2020,284,   14.10,   25.53
-23.80769,-47.44239,2020,285,   13.27,   25.79
-23.80769,-47.44239,2020,286,   12.09,   28.46
-23.80769,-47.44239,2020,287,   14.59,   32.88
-23.80769,-47.44239,2020,288,   16.95,   32.37
